,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salary by Country + Job Level,,,,,,Salary vs Experience,,,Org Size + Job Level vs Salary,,,,,Age vs avg of jobSat ,,,Job Satisfaction by Remote Work,,,Industry vs Compensation,,,max salary with Industry,,,TOP 10 countiries with highest average salaries,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Industry,MAX of ConvertedCompYearly,,,,,,,,,,
Country,AVERAGE of ConvertedCompYearly,,JobSat,AVERAGE of ConvertedCompYearly,,YearsCode,AVERAGE of ConvertedCompYearly,,AVERAGE of ConvertedCompYearly,Job_Level,,,,Age,AVERAGE of JobSat,,RemoteWork,AVERAGE of JobSat,,Industry,AVERAGE of ConvertedCompYearly,,Software Development,33552715,,Country,AVERAGE of ConvertedCompYearly,,Industry,AVERAGE of ConvertedCompYearly,AVERAGE of JobSat,,Job_Level,AVERAGE of ConvertedCompYearly
"Iran, Islamic Republic of...",320827.7419,,0,76998.84211,,1,12192.2,,OrgSize_Category,Junior,Mid,Senior,,18-24,7.06935123,,Flexible,7.392342342,,Computer System Services,145221.1328,,Computer System Services,15430267,,"Iran, Islamic Republic of...",320827.7419,,Banking Services,99731.70199,7.128476821,,Junior,20671.57547
Angola,292653.5,,1,98627.00935,,2,22069.27473,,Large,22195.77778,98943.94717,174559.8166,,25-34 ,7.087925324,,Remote,7.30061054,,Fintech,120967.3781,,Government,9000000,,Angola,292653.5,,Computer System Services,145221.1328,7.451977401,,Mid,74205.33739
North Korea,233924.5,,2,91868.17708,,3,24679.3348,,Medium,33549.36364,82919.9161,130757.4764,,35-44,7.217609162,,Hybrid-Flexible,7.177179081,,Government,112243.5859,,Fintech,6371285,,North Korea,233924.5,,Energy,95310.712,7.346666667,,Senior,130103.3912
Viet Nam,181527.8,,3,91828.24868,,4,57556.74811,,Small,14622.23333,56455.59057,105685.7629,,45-54 ,7.350260417,,Hybrid-InPerson,7.042780749,,Telecomm  Services,112079.2339,,Telecomm  Services,6000000,,Viet Nam,181527.8,,Fintech,120967.3781,7.276830491,,Grand Total,100423.8861
United States of America,178309.2886,,4,101181.0925,,5,40586.21354,,Unknown,1740.5,61394.2541,123239.1522,,55-64,7.422604423,,In-person,6.903954802,,Healthcare,109022.4447,,Supply Chain,4706124,,Switzerland,153819.4178,,Government,112243.5859,7.068728522,,,
Switzerland,153819.4178,,5,80534.58933,,6,46329.18634,,,,,,,65+,8.146153846,,,,,Supply Chain,106260.4158,,Healthcare,2346000,,Andorra,145018.3333,,Healthcare,109022.4447,7.037275064,,,
Andorra,145018.3333,,6,89385.4765,,7,53112.56019,",",,,,,,,,,,,,Media Services,106166.1787,,Other,1497556,,Nomadic,139347.25,,Higher Education,79838.94813,7.319884726,,,
Nomadic,139347.25,,7,100411.9486,,8,57896.47816,,,,,,,,,,,,,Insurance,102905.2261,,Banking Services,1225273,,Israel,137019.7929,,Insurance,102905.2261,6.881226054,,,
Israel,137019.7929,,8,101362.9398,,9,70807.51014,,,,,,,,,,,,,Other,100865.5857,,Media Services,1000000,,Ireland,123293.2523,,Manufacturing,83781.23447,7.088509317,,,
Ireland,123293.2523,,9,114430.6893,,10,73656.25408,,,,,,,,,,,,,Banking Services,99731.70199,,Energy,767110,,Mauritania,121570,,Media Services,106166.1787,7.034802784,,,
Mauritania,121570,,10,111657.4663,,11,83690.00402,,,,,,,,,,,,,Software Development,95485.1331,,Insurance,748890,,,,,Other,100865.5857,7.278247502,,,
Singapore,118683.3878,,,,,12,108540.1419,,,,,,,,,,,,,Energy,95310.712,,Retail Services,650000,,,,,Retail Services,94507.84079,7.019677996,,,
United Kingdom of Great Britain and Northern Ireland,113729.1315,,,,,13,93086.89967,,,,,,,,,,,,,Retail Services,94507.84079,,Manufacturing,600000,,,,,Software Development,95485.1331,7.213170163,,,
Australia,109580.1995,,,,,14,93558.16456,,,,,,,,,,,,,Manufacturing,83781.23447,,Higher Education,250000,,,,,Supply Chain,106260.4158,6.956340956,,,
Denmark,108817.5198,,,,,15,98143.40756,,,,,,,,,,,,,Higher Education,79838.94813,,,,,,,,Telecomm  Services,112079.2339,7.193666261,,,
Hong Kong (S.A.R.),107310.1379,,,,,16,110907.092,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,106555,,,,,17,106545.2523,,,,,,,,,,,,Computer System Services,,,,,,,,,,,,,,,
Ukraine,103447.1349,,,,,18,115740.6426,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,102851,,,,,19,118243.8477,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,102214.9271,,,,,20,121847.2077,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,102121,,,,,21,156936.016,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,101041.8553,,,,,22,130114.432,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,98117.6,,,,,23,106941.367,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,92021.3871,,,,,24,121514.5336,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,89999.99291,,,,,25,121166.9367,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,89667.82609,,,,,26,137211.0268,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,87187.35892,,,,,27,285310.362,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,86372.22857,,,,,28,126460.581,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,85851.91339,,,,,29,151678.2316,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,84141.81801,,,,,30,127914.414,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,80924.25,,,,,31,159578.9518,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,77752.48804,,,,,32,128255.9167,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,76199.33333,,,,,33,129439.3491,,,,,,,,,,,,,,,,,,,,,,,,,,,
C̫te d'Ivoire,75877.2,,,,,34,143069.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,75199.42857,,,,,35,130046.4046,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,75124.49462,,,,,36,148893.8286,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,74797.37838,,,,,37,151192.3133,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,74386.46556,,,,,38,110828.1325,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,72493.01754,,,,,39,129731.0333,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,71335.19149,,,,,40,122274.4423,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,71254,,,,,41,133461.9016,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,71213.55014,,,,,42,133571.8137,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,71080,,,,,43,150634.8082,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,70579.57568,,,,,44,134257.3148,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,68571.22273,,,,,45,139439,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,67343.5,,,,,46,161020.4091,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,66768.28571,,,,,47,169843.4762,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,65983.75,,,,,48,137890.2632,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,63678.81266,,,,,49,237339.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,63256.36,,,,,50,155047.1154,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,62180,,,,,51,212500,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,60431.88889,,,,,52,111658.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,58665.28767,,,,,53,136000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,57655.52632,,,,,54,478000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,57610.55991,,,,,55,154355,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,57090.95,,,,,56,120000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,56332.76,,,,,57,70000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Korea,55803.72727,,,,,58,130000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,54993.4,,,,,59,40842,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,54832.10811,,,,,60,46421.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,54486.59658,,,,,100,2162845,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,53999.77419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,53517.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,53359.20161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,52736.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,51274.82051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,50870.52222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,50251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,50176.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,50032.20769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,49950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,49768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,47742.85714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,46111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,45794.35223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,45450.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,45294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,45094.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,42823.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,42521.14286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,42322.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,42110.98529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,41211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,40831.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,40627.35252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,38739.46154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,38261.22222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,37923.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,36707.56818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,36409.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,36275.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,35942.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,34751.45556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,33352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,32655.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of North Macedonia,31586.55556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,31566.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,31495.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,29383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,28321.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,27440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,27279.2449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,27018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,26759.13333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,26407.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,24340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,23744.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,23412.64865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,22998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Moldova,22965.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,22772.57143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,22532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,22319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,20594.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,20361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,20085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,18666.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venezuela, Bolivarian Republic of...",17513.65385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,16078.44444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,15909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,15613.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,14836.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,14161.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,13583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,13332.69231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,13300.73333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,13266.80488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,12763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,12657.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,12287.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,10662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,10242.28571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,10158.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,9600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,9240.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,9149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,8656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,7650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,7479.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,7156.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,6530.933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,6451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,6410.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libyan Arab Jamahiriya,5541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,5355.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Republic of the...",4246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,3826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,3381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,2822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,2654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,2171.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palestine,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,